Company,Person_Name,Title,Niche,Source_URL,Still_At_Company,Company_Active,Niche_Confirmed,Quality_Score,Pass_Fail,Disqualification_Reason
Fermilab Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantum.fnal.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — SRF qubit and network hub,2,PASS — find person in Phase 3,
Fraunhofer IAF Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://fraunhofer.de,UNKNOWN,ACTIVE 2026,CONFIRMED — diamond research and microwave sensors,2,PASS — find person in Phase 3,
Harvard Quantum (HQI),UNKNOWN,Leadership,Academic-Government Quantum Programs,https://harvard.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — university initiative,2,PASS — find person in Phase 3,
Imec Belgium Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://imec-int.com,UNKNOWN,ACTIVE 2026,CONFIRMED — global semiconductor fab leader,2,PASS — find person in Phase 3,
Johns Hopkins Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://jhu.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
LIST Luxembourg Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://list.lu,UNKNOWN,ACTIVE 2026,CONFIRMED — materials and sensing hub,2,PASS — find person in Phase 3,
Lawrence Berkeley NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://lbl.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — QSA hub lead,2,PASS — find person in Phase 3,
Los Alamos NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://lanl.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — algorithm/theory leader,2,PASS — find person in Phase 3,
METAS Quantum Lab,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://metas.ch,UNKNOWN,ACTIVE 2026,CONFIRMED — swiss metrology center,2,PASS — find person in Phase 3,
Maryland QMC,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quics.umd.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — materials/theory center,2,PASS — find person in Phase 3,
NASA JPL Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://jpl.nasa.gov,UNKNOWN,ACTIVE 2025,CONFIRMED — deep space quantum comms,2,PASS — find person in Phase 3,
NICT Japan Hub,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://nict.go.jp,UNKNOWN,ACTIVE 2025,CONFIRMED — network research lead,2,PASS — find person in Phase 3,
NIST Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://nist.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — global standards lead,2,PASS — find person in Phase 3,
NYU Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://nyu.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
National Energy Tech Lab,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://netl.doe.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — algorithm research for fossil systems,2,PASS — find person in Phase 3,
Northwestern Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://northwestern.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — university center,2,PASS — find person in Phase 3,
ONR Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://onr.navy.mil,UNKNOWN,ACTIVE 2025,CONFIRMED — naval quantum navigation/sensors,2,PASS — find person in Phase 3,
Oak Ridge NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://ornl.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — materials and network hub,2,PASS — find person in Phase 3,
Ohio State Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://osu.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
PTB Quantum Metrology,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://ptb.de,UNKNOWN,ACTIVE 2026,CONFIRMED — national metrology institute,2,PASS — find person in Phase 3,
Pacific Northwest NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://pnnl.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — chem/material algorithms,2,PASS — find person in Phase 3,
Penn State Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://psu.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — university institute,2,PASS — find person in Phase 3,
Purdue Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://purdue.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — QIS hub,2,PASS — find person in Phase 3,
QST Japan Hub,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://qst.go.jp,UNKNOWN,ACTIVE 2026,CONFIRMED — Japanese hub,2,PASS — find person in Phase 3,
QuTech Delft,Lieven Vandersypen,Director,Academic-Government Quantum Programs,https://qutech.nl,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — leading research lab for spin qubits,3,PASS,
QuTech Delft,Rogier Verberk,Director of Semiconductor Research,Academic-Government Quantum Programs,https://qutech.nl,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — ecosystem and industry lead,3,PASS,
Quantum Australia Init,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://industry.gov.au,UNKNOWN,ACTIVE 2026,CONFIRMED — Australian strategy lead,2,PASS — find person in Phase 3,
Quantum Canada (NRC),UNKNOWN,Leadership,Academic-Government Quantum Programs,https://nrc.canada.ca,UNKNOWN,ACTIVE 2026,CONFIRMED — Canadian federal lead,2,PASS — find person in Phase 3,
Quantum Computing Report,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumcomputingreport.com,UNKNOWN,ACTIVE 2026,MISALIGNED — informative/news,1,FAIL,Media/Industry reporting outlet.
Quantum Delta NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumdelta.nl,UNKNOWN,ACTIVE 2026,CONFIRMED — Dutch ecosystem lead,2,PASS — find person in Phase 3,
Quantum Delta NL Ecosystem,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumdelta.nl,UNKNOWN,ACTIVE 2026,CONFIRMED — national innovation agency,2,PASS — find person in Phase 3,
Quantum France Init,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://enseignementsup-recherche.gouv.fr,UNKNOWN,ACTIVE 2025,CONFIRMED — French national strategy,2,PASS — find person in Phase 3,
Quantum Germany,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://bmbf.de,UNKNOWN,ACTIVE 2026,CONFIRMED — German BMBF national lead,2,PASS — find person in Phase 3,
Quantum Hub Auckland,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://auckland.ac.nz,UNKNOWN,ACTIVE 2025,CONFIRMED — university hub,2,PASS — find person in Phase 3,
Quantum Hub Brisbane,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://uq.edu.au,UNKNOWN,ACTIVE 2025,CONFIRMED — university hub,2,PASS — find person in Phase 3,
Quantum Hub Melbourne,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://unimelb.edu.au,UNKNOWN,ACTIVE 2025,CONFIRMED — university hub,2,PASS — find person in Phase 3,
Quantum Hub Sydney,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://sydney.edu.au,UNKNOWN,ACTIVE 2025,CONFIRMED — university hub,2,PASS — find person in Phase 3,
Quantum Industry Canada,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumindustrycanada.ca,UNKNOWN,ACTIVE 2026,CONFIRMED — trade consortium/ecosystem lead,2,PASS — find person in Phase 3,
Quantum Israel Init,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://innovationisrael.org.il,UNKNOWN,ACTIVE 2026,CONFIRMED — Israeli innovation lead,2,PASS — find person in Phase 3,
Quantum Japan (MEXT),UNKNOWN,Leadership,Academic-Government Quantum Programs,https://mext.go.jp,UNKNOWN,ACTIVE 2026,CONFIRMED — Japanese national strategy,2,PASS — find person in Phase 3,
Quantum Singapore (CQT),UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumlah.org,UNKNOWN,ACTIVE 2026,CONFIRMED — Singapore national center,2,PASS — find person in Phase 3,
Quantum UKRI,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://uknqt.ukri.org,UNKNOWN,ACTIVE 2026,CONFIRMED — UK national strategy lead,2,PASS — find person in Phase 3,
Quantum Valley Waterloo,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumvalley.com,UNKNOWN,ACTIVE 2025,CONFIRMED — Canadian investment/incubator,2,PASS — find person in Phase 3,
Quantum-Si,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantum-si.com,UNKNOWN — no person name in Phase 1,ACTIVE 2026,MISALIGNED — focusing on proteomics/biosensors,1,FAIL,Biosensor firm utilizing branding but not in QC ecosystem.
RIKEN Center for QCH,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://qih.riken.jp,UNKNOWN,ACTIVE 2026,CONFIRMED — Japanese supercompute integrator,2,PASS — find person in Phase 3,
RISE Sweden Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://ri.se,UNKNOWN,ACTIVE 2026,CONFIRMED — swedish industrial research hub,2,PASS — find person in Phase 3,
Rice University Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://rice.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
Rutgers Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://rutgers.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
SINTEF Norway Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://sintef.no,UNKNOWN,ACTIVE 2026,CONFIRMED — norwegian industrial research hub,2,PASS — find person in Phase 3,
Sandia NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://sandia.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — trapped-ion fabrication/DOE center,2,PASS — find person in Phase 3,
Savannah River NL Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://srnl.doe.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — material science for DOE QIS,2,PASS — find person in Phase 3,
Shenzhen Quantum Institute,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://iqis.sustech.edu.cn,UNKNOWN,ACTIVE 2026,CONFIRMED — Chinese leading research institute,2,PASS — find person in Phase 3,
TNO Netherlands Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://tno.nl,UNKNOWN,ACTIVE 2026,CONFIRMED — dutch industrial research hub,2,PASS — find person in Phase 3,
Texas A&M Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://tamu.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — IQSE lab,2,PASS — find person in Phase 3,
The Quantum Insider,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://thequantuminsider.com,UNKNOWN,ACTIVE 2026,MISALIGNED — data/intelligence,1,FAIL,Intelligence/Information provider.
Tsinghua University Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://iiis.tsinghua.edu.cn,UNKNOWN,ACTIVE 2026,CONFIRMED — leading Chinese university center,2,PASS — find person in Phase 3,
Tufts University Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://tufts.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
Tyndall National Institute,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://tyndall.ie,UNKNOWN,ACTIVE 2026,CONFIRMED — photonics and microelectronics hub,2,PASS — find person in Phase 3,
UC Berkeley Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://berkeley.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — leading research institute,2,PASS — find person in Phase 3,
UCLA Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://ucla.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
UCSD Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://ucsd.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
USTC Quantum Lab,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantum.ustc.edu.cn,UNKNOWN,ACTIVE 2026,CONFIRMED — global leadership in QKD and photons,2,PASS — find person in Phase 3,
University of Chicago Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://uchicago.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — major research hub (CQE),2,PASS — find person in Phase 3,
University of Michigan Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://umich.edu,UNKNOWN,ACTIVE 2026,CONFIRMED — university center,2,PASS — find person in Phase 3,
University of Minnesota Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://umn.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — university center,2,PASS — find person in Phase 3,
Abbratech,UNKNOWN,Principal Investigator,Full-Stack Quantum Computing and Cloud Platforms,https://abbratech.com,UNKNOWN — no person name in Phase 1,ACTIVE 2024,CONFIRMED — high-depth quantum architectures,2,PASS — find person in Phase 3,
Agnostiq,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://agnostiq.ai,UNKNOWN,ACTIVE 2026,CONFIRMED — Covalent cloud orchestration,2,PASS — find person in Phase 3,
Agnostiq,Oktay Goktas,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://agnostiq.ai,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — covalent software hub leader,3,PASS,
Alibaba Quantum Lab,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://damo.alibaba.com,UNKNOWN,ACTIVE 2026,FAIL — parent level (not named division lead),1,FAIL,Parent level company per Qualification Score Rule.
Alice & Bob,Théau Peronnin,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://alice-bob.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — self-correcting cat qubits,3,PASS,
Alice & Bob,Jean-Luc Lodi,Chief Product Officer,Full-Stack Quantum Computing and Cloud Platforms,https://alice-bob.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — product strategy for cat qubits,3,PASS,
Amazon Braket,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://aws.amazon.com,UNKNOWN,ACTIVE 2026,CONFIRMED — hardware-agnostic cloud stack,2,PASS — find person in Phase 3,
Applied Materials,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://appliedmaterials.com,UNKNOWN — no person name in Phase 1,ACTIVE 2026,CONFIRMED — fab equipment for qubit manufacturing,2,PASS — find person in Phase 3,
Atom Computing,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://atom-computing.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — neutral atom platform leader,2,PASS — find person in Phase 3,
Atom Computing,Rob Hays,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://atom-computing.com,CONFIRMED 2025,ACTIVE 2026,CONFIRMED — neutral atom hardware lead,3,PASS,
Baidu Quantum (Qian Shi),UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://quantum.baidu.com,UNKNOWN,ACTIVE 2026,FAIL — parent level (not named division lead),1,FAIL,Parent level company per Qualification Score Rule.
Bleximo,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://bleximo.com,UNKNOWN,ACTIVE 2025,CONFIRMED — specialized application-specific QC,2,PASS — find person in Phase 3,
ColdQuanta,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://infleqtion.com,UNKNOWN — no person name,ACTIVE 2026,CONFIRMED — neutral atom hardware (Infleqtion),2,PASS — find person in Phase 3,
ColdQuanta,Scott Faris,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://coldquanta.com,CONFIRMED 2025,ACTIVE 2026,CONFIRMED — cold atom infrastructure,3,PASS,
D-Wave,Alan Baratz,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://dwavesys.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — annealing and gate-model lead,3,PASS,
Diraq,Andrew Dzurak,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://diraq.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — CMOS silicon spin qubits,3,PASS,
EeroQ,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://eeroq.com,UNKNOWN — no person name,ACTIVE 2025,CONFIRMED — electrons-on-helium hardware,2,PASS — find person in Phase 3,
EeroQ,Nick Farina,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://eeroq.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — electrons-on-helium architecture,3,PASS,
Equal1,Jason Lynch,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://www.equal1.com/about,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — CMOS-based quantum computing,3,PASS,
Google Quantum AI,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://quantumai.google,UNKNOWN,ACTIVE 2026,CONFIRMED — industry research leader,2,PASS — find person in Phase 3,
Horizon Quantum,Joe Fitzsimons,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://horizonquantum.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — algorithm development tool leader,3,PASS,
Huawei Quantum Research,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://huawei.com,UNKNOWN,ACTIVE 2026,FAIL — parent level (not named division lead),1,FAIL,Parent level company per Qualification Score Rule.
IBM,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://ibm.com,UNKNOWN — no person name in Phase 1,ACTIVE 2026,FAIL — parent level company,1,FAIL,Parent level company per Qualification Score Rule.
IQM,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://meetiqm.com,UNKNOWN — no person name in Phase 1,ACTIVE 2026,CONFIRMED — leading European superconducting QC manufacturer,2,PASS — find person in Phase 3,
Infleqtion,Ronald Hellmer,Principal Investigator,Full-Stack Quantum Computing and Cloud Platforms,https://infleqtion.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — commercial cold atom platforms,3,PASS,
Intel,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://intel.com,UNKNOWN — no person name in Phase 1,ACTIVE 2026,FAIL — parent level company,1,FAIL,Parent level company per Qualification Score Rule.
IonQ,Peter Chapman,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://ionq.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — publicly traded trapped-ion QC leader,3,PASS,
IonQ,Krzysztof Bernacki,VP Engineering,Full-Stack Quantum Computing and Cloud Platforms,https://ionq.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — trapped-ion system engineering,3,PASS,
Microsoft Azure Quantum,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://azure.com,UNKNOWN,ACTIVE 2026,CONFIRMED — cloud quantum deployment,2,PASS — find person in Phase 3,
Nanjing Quantum Lab,UNKNOWN,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://nanjing-quantum.com,UNKNOWN,ACTIVE 2026,CONFIRMED — industrial lab for QC algorithms,2,PASS — find person in Phase 3,
Nord Quantique,Philippe St-Jean,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://nordquantique.ca,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — logical qubits with bosonic codes,3,PASS,
ORCA Computing,Kris Kaczmarek,Head of Product,Full-Stack Quantum Computing and Cloud Platforms,https://orcacomputing.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — photonics product scientist,3,PASS,
Orca Computing,Richard Murray,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://orcacomputing.com/about,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — photonic QC with quantum memory,3,PASS,
Oxford Ionics,Chris Ballance,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://oxionics.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — laser-less trapped-ion QC,3,PASS,
Oxford Ionics,Tom Harty,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://oxionics.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — microwave trapped-ion founder,3,PASS,
Oxford Quantum Circuits,Ilana Wisby,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://oxfordquantumcircuits.com/about,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — superconducting circuits and Coaxmon qubits,3,PASS,
Pasqal,Georges-Olivier Reymond,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://pasqal.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — commercial neutral-atom manufacturer,3,PASS,
Pasqal,Loic Henriet,CTO,Full-Stack Quantum Computing and Cloud Platforms,https://pasqal.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — neutral-atom architecture lead,3,PASS,
Planqal,UNKNOWN — find in Phase 2,Leadership,Full-Stack Quantum Computing and Cloud Platforms,https://planqal.com,UNKNOWN,ACTIVE 2024,CONFIRMED — software stack for Polish ecosystem,2,PASS — find person in Phase 3,
PsiQuantum,Jeremy O'Brien,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://psiquantum.com,CONFIRMED 2025,ACTIVE 2026,CONFIRMED — photonic fault-tolerant QC development,3,PASS,
PsiQuantum,Pete Shadbolt,Chief Strategy Officer,Full-Stack Quantum Computing and Cloud Platforms,https://psiquantum.com,CONFIRMED 2025,ACTIVE 2026,CONFIRMED — core architecture founder,3,PASS,
QuEra Computing,Alex Keesling,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://quera.com,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — neutral-atom quantum computer (256-qubit),3,PASS,
Quandela,Valérian Giesz,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://quandela.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — photonic quantum computer manufacturer,3,PASS,
Quantinuum,Rajeeb Hazra,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://www.quantinuum.com/about,CONFIRMED 2026,ACTIVE 2026,CONFIRMED — largest integrated quantum company (Honeywell/Cambridge),3,PASS,
Quantinuum,Tony Uttley,Chief Commercial Officer,Full-Stack Quantum Computing and Cloud Platforms,https://quantinuum.com,CONFIRMED 2025,ACTIVE 2026,CONFIRMED — commercial leads for ion-trap/PQC,3,PASS,
Quantum Brilliance,Mark Cassidy,CEO,Full-Stack Quantum Computing and Cloud Platforms,https://quantumbrilliance.com/about,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — diamond-based QC at room temperature,3,PASS,
